login_attempts,failed_logins,data_transfer_mb,access_time,ip_changes,is_malicious
4,1,184,13,1,0
4,1,185,12,1,0
3,0,167,11,1,0
2,0,120,12,0,0
5,0,95,10,0,0
3,0,123,11,1,0
5,0,90,14,0,0
6,1,185,9,0,0
3,0,72,9,0,0
4,1,170,15,1,0
2,1,199,12,1,0
6,0,113,13,1,0
4,0,132,15,1,0
3,0,106,16,1,0
5,0,178,10,0,0
4,0,79,14,0,0
4,0,172,14,1,0
4,0,188,15,1,0
3,1,135,12,0,0
2,0,72,13,0,0
3,1,188,13,1,0
6,0,192,14,1,0
4,0,105,13,0,0
6,1,116,14,1,0
4,0,136,14,1,0
5,0,177,13,0,0
5,0,108,15,1,0
2,0,169,13,0,0
5,0,67,9,1,0
6,1,109,9,1,0
6,0,184,12,0,0
5,0,189,14,1,0
6,0,86,9,1,0
6,1,117,13,0,0
2,1,146,15,1,0
4,1,82,9,1,0
4,1,154,16,1,0
2,0,181,16,0,0
3,1,198,15,1,0
5,1,122,13,1,0
3,0,106,14,0,0
4,1,140,12,1,0
5,0,99,13,1,0
3,0,101,16,1,0
6,1,107,10,1,0
3,0,98,12,0,0
4,0,92,12,0,0
6,0,141,11,0,0
2,1,196,12,1,0
6,1,95,13,1,0
5,0,156,13,0,0
6,0,138,15,0,0
6,0,86,11,1,0
2,1,91,10,0,0
3,1,148,12,1,0
6,1,151,16,0,0
3,0,168,16,1,0
6,1,171,13,1,0
5,1,132,9,0,0
5,0,84,12,0,0
3,1,182,10,0,0
3,0,94,13,1,0
6,1,143,14,0,0
6,1,149,16,0,0
5,1,94,14,0,0
3,0,168,14,1,0
3,0,105,16,1,0
3,0,106,15,1,0
2,1,94,9,0,0
5,1,102,15,0,0
3,1,102,14,1,0
5,0,86,14,1,0
2,0,73,11,1,0
3,1,154,13,1,0
6,1,115,12,0,0
2,0,192,12,0,0
6,0,144,10,0,0
4,1,178,14,0,0
6,1,86,15,1,0
5,1,188,14,0,0
5,0,121,12,0,0
4,1,161,9,0,0
6,1,184,16,0,0
6,1,132,12,0,0
3,0,157,9,1,0
3,0,122,9,0,0
4,0,66,16,1,0
2,1,168,10,1,0
3,0,103,9,1,0
2,0,139,9,1,0
3,0,115,10,0,0
5,0,144,11,1,0
5,1,113,15,1,0
3,0,171,13,1,0
3,0,138,10,0,0
2,0,193,14,0,0
2,1,119,15,1,0
3,0,115,16,1,0
6,0,187,9,1,0
5,0,96,10,0,0
4,0,190,11,0,0
2,1,108,16,1,0
2,1,81,14,1,0
5,1,152,11,0,0
6,1,78,9,1,0
4,1,139,14,0,0
2,1,150,13,0,0
6,0,64,15,1,0
3,0,71,14,0,0
4,0,67,10,0,0
5,1,167,16,0,0
5,1,177,15,1,0
3,1,113,16,1,0
3,0,81,16,0,0
6,1,115,12,1,0
4,0,132,16,1,0
3,1,192,16,0,0
3,0,142,15,1,0
6,1,94,16,1,0
3,1,130,15,1,0
3,1,117,10,0,0
5,1,139,13,1,0
2,0,196,14,1,0
6,1,88,13,1,0
2,0,166,9,0,0
4,0,63,10,0,0
5,0,140,16,0,0
5,1,78,12,1,0
2,1,69,15,0,0
3,0,107,13,0,0
6,1,90,12,1,0
4,0,136,9,0,0
2,1,80,14,1,0
6,0,143,13,0,0
4,1,154,12,0,0
2,1,111,16,1,0
4,0,102,13,0,0
6,1,83,14,1,0
3,0,80,12,0,0
2,1,141,13,1,0
2,1,152,12,0,0
6,1,73,9,0,0
2,1,61,9,0,0
3,0,71,11,0,0
5,1,111,16,0,0
6,0,92,14,0,0
2,0,189,12,1,0
6,1,67,10,0,0
4,0,77,12,1,0
2,1,166,12,1,0
6,1,172,14,1,0
6,0,193,15,0,0
4,1,169,15,1,0
4,1,80,14,0,0
3,0,158,14,0,0
5,0,110,10,1,0
3,0,116,9,0,0
6,0,186,15,1,0
5,0,110,16,1,0
2,0,128,10,1,0
2,0,186,16,1,0
6,0,122,14,1,0
4,0,73,9,1,0
5,1,145,11,0,0
5,0,156,16,0,0
5,1,164,14,1,0
3,1,65,12,1,0
2,1,106,14,0,0
5,1,130,11,0,0
5,0,165,10,1,0
2,1,75,13,1,0
2,1,76,11,0,0
6,0,183,11,1,0
6,1,131,15,1,0
3,0,102,10,0,0
2,1,125,15,0,0
4,1,109,13,0,0
6,1,117,16,0,0
3,0,159,14,0,0
6,1,111,11,0,0
3,0,65,9,1,0
4,0,133,13,1,0
4,1,127,13,0,0
6,0,110,14,1,0
4,1,78,11,1,0
3,1,79,11,1,0
6,1,151,13,1,0
5,1,107,13,0,0
6,0,193,13,1,0
4,1,165,10,1,0
5,0,168,16,1,0
6,1,182,15,1,0
5,0,165,15,1,0
2,0,184,15,0,0
5,0,66,15,0,0
4,0,114,10,0,0
3,0,117,13,1,0
4,1,133,9,1,0
6,0,127,9,1,0
5,1,182,11,1,0
2,0,166,11,0,0
6,0,144,13,0,0
4,0,135,10,0,0
4,0,177,10,0,0
6,1,62,16,1,0
2,0,192,9,1,0
6,1,114,15,1,0
5,0,180,16,1,0
2,1,153,12,1,0
4,0,190,16,1,0
6,0,147,11,0,0
5,1,138,9,0,0
5,0,165,10,0,0
6,1,155,9,0,0
4,1,200,16,0,0
4,0,70,16,0,0
6,1,183,10,0,0
2,0,183,9,0,0
4,1,84,15,0,0
4,1,182,9,1,0
2,1,160,10,1,0
6,0,128,11,0,0
4,0,139,14,1,0
4,1,83,13,1,0
4,0,191,14,1,0
3,0,101,14,0,0
3,0,177,14,0,0
3,1,91,14,1,0
3,1,100,10,0,0
5,1,67,14,1,0
5,1,120,10,1,0
6,1,107,11,1,0
6,0,159,11,0,0
6,0,104,16,0,0
6,0,147,11,1,0
3,1,182,9,1,0
4,1,134,12,1,0
6,1,154,10,1,0
5,1,142,9,0,0
3,1,74,12,1,0
4,0,64,15,0,0
5,0,70,13,0,0
4,0,94,12,1,0
4,1,156,16,1,0
6,0,173,14,1,0
2,1,192,10,0,0
3,0,156,14,0,0
6,0,141,16,0,0
6,0,78,13,0,0
4,1,198,10,0,0
2,0,61,12,1,0
6,1,125,13,1,0
2,0,102,14,0,0
3,1,152,10,0,0
3,1,199,15,0,0
4,0,65,10,1,0
4,0,84,15,0,0
2,1,91,14,0,0
2,0,126,13,1,0
5,0,153,16,1,0
2,1,71,11,1,0
2,0,158,11,1,0
5,0,75,14,0,0
4,1,98,12,1,0
4,1,158,15,0,0
2,0,114,13,0,0
4,1,94,13,0,0
3,1,192,13,0,0
3,0,188,9,0,0
5,0,68,10,1,0
4,1,74,10,0,0
4,1,196,15,0,0
6,1,96,11,1,0
6,1,180,11,1,0
3,1,172,11,0,0
2,1,177,9,1,0
6,1,180,11,1,0
5,0,94,12,1,0
3,0,109,14,0,0
3,1,122,16,1,0
2,0,132,10,0,0
3,0,171,15,1,0
6,0,130,10,1,0
2,0,167,9,1,0
5,1,90,11,1,0
6,1,135,10,1,0
2,1,127,11,1,0
4,0,80,13,0,0
6,1,114,9,0,0
5,1,124,13,1,0
4,1,168,13,1,0
4,1,166,16,1,0
6,1,163,12,0,0
3,1,149,10,1,0
6,0,168,16,0,0
2,0,119,16,1,0
4,1,63,13,0,0
4,0,156,15,1,0
6,0,116,14,1,0
4,1,82,13,1,0
2,0,121,11,0,0
5,0,153,12,1,0
3,1,75,16,0,0
3,1,127,12,1,0
5,0,167,13,1,0
4,1,106,11,0,0
6,1,104,16,0,0
4,1,112,10,1,0
3,1,77,12,0,0
6,0,94,14,1,0
2,1,155,13,0,0
3,1,195,11,1,0
4,0,84,12,1,0
5,0,168,14,0,0
6,0,155,15,0,0
3,1,88,13,1,0
2,0,100,11,0,0
2,0,123,13,1,0
3,0,71,10,0,0
4,0,167,14,0,0
2,0,171,13,0,0
4,1,113,10,0,0
5,0,169,16,1,0
5,0,66,16,1,0
6,1,168,16,0,0
5,0,180,15,0,0
4,1,60,15,0,0
2,0,110,16,1,0
4,0,194,16,1,0
2,0,120,13,0,0
2,0,117,12,1,0
4,1,129,10,0,0
2,0,131,16,0,0
4,0,191,14,0,0
4,1,97,14,1,0
6,1,193,16,1,0
5,0,116,14,0,0
3,1,131,15,0,0
3,1,67,14,0,0
6,0,123,15,0,0
2,1,140,14,0,0
4,0,68,11,1,0
2,0,149,15,1,0
5,0,64,9,0,0
6,1,80,12,0,0
4,0,76,16,1,0
3,0,107,9,1,0
4,0,193,9,1,0
6,1,164,12,0,0
2,1,149,11,1,0
5,1,104,16,0,0
5,1,75,9,0,0
2,1,106,13,0,0
3,1,143,13,1,0
5,0,84,9,1,0
6,1,67,9,0,0
4,0,129,15,1,0
3,1,91,16,0,0
5,1,181,9,0,0
4,0,129,15,0,0
4,0,157,16,1,0
2,1,144,13,0,0
2,1,170,12,1,0
3,1,85,9,0,0
4,0,88,12,1,0
2,1,114,10,1,0
5,1,81,12,0,0
3,1,159,14,1,0
4,1,161,9,1,0
5,1,148,16,0,0
5,1,87,9,1,0
5,0,79,12,1,0
4,0,117,13,0,0
3,1,180,11,1,0
6,0,191,13,1,0
4,1,70,14,0,0
5,0,153,11,1,0
4,0,97,10,0,0
5,1,81,14,1,0
6,1,128,10,0,0
4,1,188,13,0,0
4,0,100,12,1,0
6,1,75,16,1,0
4,0,135,12,1,0
6,1,62,14,1,0
4,1,95,15,0,0
4,1,158,14,0,0
3,0,63,11,0,0
2,1,188,9,1,0
6,1,190,15,1,0
6,0,70,16,1,0
6,1,114,14,1,0
6,0,196,14,1,0
6,1,122,12,0,0
4,0,106,16,0,0
2,0,114,11,0,0
4,0,63,14,0,0
6,0,73,11,1,0
2,0,79,15,1,0
4,1,60,10,1,0
3,1,151,9,1,0
6,1,170,11,1,0
5,0,79,15,0,0
3,0,187,16,1,0
3,0,90,9,0,0
4,1,186,10,1,0
6,1,65,16,0,0
4,1,122,14,0,0
2,1,98,11,0,0
5,1,111,12,0,0
3,0,119,10,0,0
6,0,158,16,1,0
4,1,190,11,0,0
5,0,77,12,1,0
4,0,163,16,0,0
2,1,106,9,1,0
3,0,68,16,0,0
4,1,61,16,0,0
3,1,198,9,1,0
5,0,171,15,0,0
2,0,132,13,0,0
2,1,178,10,1,0
4,1,121,13,1,0
4,1,139,9,0,0
6,1,163,16,1,0
5,1,114,15,1,0
2,0,114,12,0,0
5,1,152,16,0,0
5,0,108,11,1,0
6,0,111,10,0,0
3,0,76,14,0,0
4,0,129,16,0,0
4,0,164,12,1,0
4,0,151,14,0,0
2,1,188,11,0,0
6,0,138,9,1,0
5,0,171,13,0,0
4,1,177,16,0,0
4,0,179,12,0,0
3,1,195,10,0,0
3,0,136,10,1,0
4,1,152,11,0,0
5,0,157,12,0,0
5,1,169,11,0,0
2,1,155,10,1,0
3,1,98,10,0,0
4,0,85,13,1,0
5,1,159,13,1,0
3,0,168,12,1,0
4,1,116,15,0,0
5,0,92,12,1,0
4,1,137,12,1,0
6,1,108,11,0,0
2,0,72,16,0,0
3,1,131,12,1,0
6,0,151,14,1,0
6,1,68,13,1,0
5,0,142,16,0,0
3,1,152,9,1,0
5,1,102,16,0,0
5,1,175,11,1,0
3,1,195,10,1,0
4,1,111,13,1,0
4,0,100,9,0,0
4,1,152,15,1,0
2,0,158,12,1,0
4,0,192,12,1,0
5,0,143,13,1,0
5,1,114,15,1,0
5,0,100,16,0,0
5,1,192,14,0,0
5,0,79,16,0,0
5,1,134,14,0,0
3,1,149,15,0,0
3,1,181,11,0,0
5,0,128,15,0,0
4,1,102,16,1,0
4,1,157,11,1,0
2,1,95,15,1,0
4,1,90,16,1,0
4,1,154,9,1,0
6,0,111,15,1,0
3,1,140,9,1,0
3,0,85,16,0,0
4,0,66,14,0,0
6,1,122,10,1,0
5,0,187,10,0,0
4,0,183,16,0,0
4,0,101,11,0,0
3,0,77,14,1,0
3,0,156,13,0,0
4,1,176,12,1,0
4,0,173,14,0,0
4,0,124,10,0,0
4,0,165,10,0,0
4,1,194,10,1,0
4,0,193,15,0,0
2,0,148,13,1,0
4,0,102,15,0,0
6,0,83,13,0,0
2,0,164,14,0,0
4,0,172,9,0,0
5,1,66,15,1,0
3,0,161,14,0,0
4,0,96,11,1,0
3,0,138,10,1,0
5,0,161,11,0,0
2,1,116,13,1,0
5,0,145,15,0,0
2,0,125,15,0,0
2,0,182,14,0,0
3,0,157,12,1,0
5,1,139,16,0,0
2,1,82,12,1,0
5,1,132,14,0,0
2,0,134,15,1,0
6,0,136,11,0,0
4,1,185,16,1,0
5,0,162,9,1,0
2,0,127,9,0,0
6,1,137,12,0,0
6,0,192,15,0,0
3,0,200,9,1,0
6,0,102,11,0,0
4,1,164,10,1,0
4,1,157,16,0,0
4,1,91,12,1,0
6,1,105,16,0,0
3,1,122,9,1,0
6,0,177,11,1,0
2,0,87,15,1,0
4,1,69,10,0,0
5,0,97,11,0,0
5,0,69,16,0,0
6,1,83,9,1,0
2,1,121,12,1,0
4,0,177,13,1,0
6,0,90,12,1,0
3,1,183,9,0,0
2,0,126,9,0,0
3,1,141,11,0,0
2,0,95,12,0,0
2,0,98,14,1,0
3,0,102,14,0,0
3,1,169,12,0,0
6,1,185,16,0,0
6,0,138,15,1,0
4,1,66,10,0,0
6,0,164,10,1,0
4,0,169,9,1,0
2,1,137,13,1,0
4,0,105,14,1,0
2,0,61,11,1,0
6,1,199,9,0,0
6,1,128,16,0,0
5,1,164,13,1,0
4,0,111,10,0,0
5,1,164,12,0,0
4,0,147,10,0,0
4,1,110,12,1,0
3,1,101,15,1,0
4,1,152,13,0,0
6,0,192,13,0,0
2,0,109,13,1,0
4,1,168,9,1,0
3,0,152,15,1,0
5,0,198,16,0,0
5,1,122,9,0,0
6,1,77,10,1,0
6,1,75,16,0,0
4,0,141,9,1,0
5,1,146,12,0,0
2,1,142,10,1,0
6,0,68,15,0,0
3,1,167,9,1,0
6,0,103,10,0,0
6,1,136,10,0,0
3,0,174,12,0,0
3,1,166,12,0,0
3,1,177,16,0,0
3,1,101,11,1,0
3,1,170,10,0,0
6,0,176,15,0,0
3,1,189,9,1,0
2,0,105,10,1,0
4,1,130,16,0,0
6,0,95,10,0,0
5,0,92,13,1,0
6,1,73,12,0,0
4,1,106,10,0,0
4,0,162,14,0,0
5,1,158,11,0,0
5,1,141,11,1,0
4,1,135,14,0,0
3,1,77,10,0,0
6,0,199,14,0,0
5,0,186,12,1,0
6,0,198,14,1,0
3,0,69,16,1,0
2,0,101,11,1,0
5,1,94,13,0,0
2,0,64,12,1,0
4,1,124,16,0,0
6,0,128,9,1,0
6,1,72,10,0,0
6,1,118,15,1,0
2,1,175,10,1,0
2,1,99,12,0,0
3,0,175,16,1,0
3,1,188,13,1,0
4,0,134,9,1,0
5,1,142,12,1,0
5,1,182,14,0,0
5,1,73,15,0,0
4,1,138,16,1,0
5,1,93,16,1,0
6,1,74,13,0,0
5,1,159,11,0,0
4,1,74,14,1,0
4,0,193,14,1,0
6,0,184,16,1,0
2,1,136,13,1,0
3,1,102,9,0,0
2,0,83,15,0,0
4,1,132,11,0,0
2,0,103,10,0,0
3,0,147,15,1,0
6,0,183,9,0,0
5,1,188,9,0,0
3,0,174,12,1,0
5,1,91,13,1,0
3,0,134,10,1,0
4,0,123,9,1,0
3,0,96,16,0,0
5,1,69,13,0,0
3,0,138,15,0,0
4,1,86,13,1,0
4,0,182,9,0,0
6,1,143,9,0,0
2,0,77,12,0,0
2,0,156,13,1,0
5,0,192,12,0,0
4,0,130,14,0,0
6,0,93,14,0,0
2,1,123,14,0,0
2,0,145,15,1,0
6,0,161,11,0,0
5,1,103,12,0,0
5,0,79,16,0,0
4,0,164,16,0,0
6,1,70,14,0,0
2,0,194,11,1,0
2,0,157,15,1,0
2,0,89,13,0,0
4,0,94,10,1,0
3,0,96,12,0,0
2,1,188,9,0,0
2,0,116,12,1,0
3,0,106,15,0,0
4,0,137,13,0,0
4,1,200,10,1,0
3,1,123,13,0,0
6,1,73,12,1,0
4,0,144,9,0,0
5,0,192,12,1,0
6,1,70,16,0,0
5,0,169,12,1,0
4,0,110,10,0,0
6,0,194,13,0,0
5,0,63,11,1,0
4,0,187,14,0,0
5,0,175,9,1,0
3,0,79,9,1,0
4,1,150,11,1,0
6,0,85,16,0,0
5,0,125,9,0,0
2,0,102,10,1,0
5,0,98,10,1,0
5,1,168,15,0,0
5,0,152,16,1,0
2,1,144,16,1,0
6,1,183,11,1,0
4,1,141,9,1,0
6,0,148,13,0,0
2,1,125,9,1,0
5,1,130,13,0,0
5,0,107,10,0,0
6,1,181,9,1,0
5,1,176,11,0,0
4,0,67,13,0,0
4,0,112,14,0,0
5,0,116,14,0,0
4,1,184,16,1,0
6,1,138,9,0,0
4,0,61,12,1,0
4,1,126,12,0,0
5,1,182,14,0,0
2,0,154,16,1,0
3,1,161,11,1,0
5,1,149,13,1,0
5,1,191,15,0,0
5,1,127,12,0,0
6,0,157,9,0,0
6,1,136,13,0,0
5,0,123,16,1,0
4,0,114,12,1,0
5,0,171,16,1,0
2,1,142,11,1,0
4,0,179,16,1,0
2,1,113,11,1,0
2,0,184,11,0,0
6,0,79,9,0,0
3,0,88,10,1,0
3,1,114,15,1,0
5,0,130,12,1,0
2,1,118,10,0,0
4,0,157,15,0,0
5,0,164,16,1,0
2,1,136,12,0,0
3,1,194,15,1,0
3,1,63,10,1,0
6,0,82,11,0,0
2,0,158,15,1,0
2,1,110,16,1,0
6,0,155,11,0,0
5,0,195,16,0,0
5,1,179,9,0,0
5,1,67,13,0,0
3,0,138,16,1,0
6,0,84,11,1,0
3,1,130,16,0,0
2,0,60,12,1,0
3,1,139,14,0,0
5,0,109,13,1,0
4,0,80,14,0,0
2,0,65,10,1,0
3,1,153,13,1,0
2,0,127,11,0,0
6,0,111,11,0,0
3,0,82,16,0,0
2,1,154,13,1,0
2,1,112,12,1,0
3,1,191,16,1,0
6,0,188,11,1,0
6,0,87,10,1,0
6,1,165,12,1,0
6,0,94,16,0,0
5,0,114,10,0,0
4,0,129,11,0,0
6,1,171,16,1,0
3,0,91,10,0,0
6,0,142,10,1,0
5,0,151,16,0,0
6,1,162,13,0,0
4,0,155,14,1,0
6,0,143,16,0,0
4,0,121,10,1,0
6,0,165,9,1,0
4,0,86,14,0,0
5,1,176,14,1,0
5,1,119,14,1,0
2,0,110,11,0,0
2,1,98,16,0,0
5,1,69,10,0,0
4,1,154,15,1,0
2,1,164,15,1,0
4,0,148,13,0,0
2,1,164,11,1,0
3,0,96,11,1,0
3,1,162,13,0,0
3,1,84,9,1,0
6,0,82,15,0,0
4,0,98,11,1,0
6,0,65,11,0,0
4,0,117,11,0,0
4,0,117,11,0,0
3,0,190,15,1,0
2,0,186,10,0,0
4,0,105,14,1,0
5,1,70,15,0,0
3,0,186,12,0,0
3,0,71,14,1,0
6,0,185,12,1,0
6,0,170,16,1,0
3,0,162,11,0,0
4,0,171,11,1,0
3,1,177,13,0,0
5,1,63,16,0,0
4,1,152,11,0,0
3,1,168,16,0,0
6,0,64,12,0,0
2,1,74,10,0,0
6,0,165,12,1,0
3,0,61,14,0,0
4,0,129,9,1,0
4,1,187,11,1,0
4,0,160,12,0,0
3,0,185,16,0,0
2,0,195,16,0,0
2,0,100,12,1,0
6,0,98,15,1,0
2,0,88,13,1,0
4,0,102,11,0,0
2,1,189,11,0,0
6,1,127,10,0,0
5,0,81,11,1,0
2,1,192,11,1,0
5,0,126,9,0,0
2,0,77,13,1,0
5,0,165,11,1,0
3,0,137,12,1,0
4,1,80,14,0,0
5,0,140,16,1,0
3,1,143,12,1,0
2,1,90,10,0,0
2,0,189,10,0,0
6,0,81,10,0,0
3,1,108,11,1,0
6,1,193,13,0,0
4,1,107,16,1,0
2,1,92,15,1,0
6,1,118,11,0,0
4,1,111,13,1,0
2,0,165,9,1,0
5,1,82,16,0,0
2,1,171,12,1,0
6,1,169,16,1,0
5,1,88,13,1,0
5,1,190,9,1,0
5,1,159,16,0,0
5,0,146,13,1,0
2,1,101,15,0,0
4,1,181,10,1,0
3,0,80,16,1,0
6,0,152,15,1,0
2,1,169,13,1,0
4,1,155,13,0,0
4,0,108,12,0,0
3,1,68,14,1,0
2,1,94,9,1,0
6,1,156,16,1,0
5,1,88,15,1,0
2,0,197,11,0,0
4,1,178,11,1,0
6,1,89,12,0,0
3,0,108,15,0,0
3,1,133,16,0,0
2,1,128,10,0,0
3,1,145,12,0,0
5,0,186,10,1,0
2,1,75,11,1,0
6,1,162,13,1,0
2,1,60,14,0,0
6,1,71,13,0,0
2,1,127,14,1,0
3,0,143,11,0,0
5,1,190,10,0,0
5,0,150,9,0,0
2,0,65,10,0,0
3,1,143,11,0,0
5,1,83,9,1,0
5,1,155,11,0,0
4,1,121,10,1,0
4,0,147,16,0,0
6,1,122,12,1,0
5,1,199,15,1,0
2,0,131,9,1,0
4,0,181,10,0,0
5,0,182,10,1,0
2,0,111,13,1,0
3,0,80,11,0,0
6,0,140,15,1,0
3,1,165,9,0,0
5,0,189,10,1,0
6,0,198,13,0,0
